id,zip_code,post_code,delivery_type,sunday,monday,tuesday,wednesday,thursday,friday,saturday,discriminator_type
1,4314121,0666,3,0,0,0,0,0,0,0,hldeliverylist
2,4400001,0666,1,1,1,0,1,1,1,1,hldeliverylist
3,4400002,0666,1,1,1,0,1,1,1,1,hldeliverylist
4,4400003,0666,1,1,1,0,1,1,1,1,hldeliverylist
5,4400004,0666,1,1,1,0,1,1,1,1,hldeliverylist
6,4400005,0666,1,1,1,0,1,1,1,1,hldeliverylist
7,4400006,0666,1,1,1,0,1,1,1,1,hldeliverylist
8,4400006,0666,1,1,1,0,1,1,1,1,hldeliverylist
9,4400006,0666,1,1,1,0,1,1,1,1,hldeliverylist
10,4400006,0666,1,1,1,0,1,1,1,1,hldeliverylist
11,4400006,0666,1,1,1,0,1,1,1,1,hldeliverylist
12,4400011,0666,1,1,1,0,1,1,1,1,hldeliverylist
13,4400012,0666,1,1,1,0,1,1,1,1,hldeliverylist
14,4400013,0666,1,1,1,0,1,1,1,1,hldeliverylist
15,4400014,0666,1,1,1,0,1,1,1,1,hldeliverylist
16,4400015,0666,1,1,1,0,1,1,1,1,hldeliverylist
17,4400016,0666,1,1,1,0,1,1,1,1,hldeliverylist
18,4400021,0666,1,1,1,0,1,1,1,1,hldeliverylist
19,4400022,0666,1,1,1,0,1,1,1,1,hldeliverylist
20,4400023,0666,1,1,1,0,1,1,1,1,hldeliverylist
21,4400024,0666,1,1,1,0,1,1,1,1,hldeliverylist
22,4400025,0666,1,1,1,0,1,1,1,1,hldeliverylist
23,4400026,0666,1,1,1,0,1,1,1,1,hldeliverylist
24,4400027,0666,1,1,1,0,1,1,1,1,hldeliverylist
25,4400028,0666,1,1,1,0,1,1,1,1,hldeliverylist
26,4400031,0666,1,1,1,0,1,1,1,1,hldeliverylist
27,4400032,0666,1,1,1,0,1,1,1,1,hldeliverylist
28,4400033,0666,1,1,1,0,1,1,1,1,hldeliverylist
29,4400034,0666,1,1,1,0,1,1,1,1,hldeliverylist
30,4400035,0666,1,1,1,0,1,1,1,1,hldeliverylist
31,4400036,0666,1,1,1,0,1,1,1,1,hldeliverylist
32,4400037,0666,1,1,1,0,1,1,1,1,hldeliverylist
33,4400038,0666,1,1,1,0,1,1,1,1,hldeliverylist
34,4400041,0666,1,1,1,0,1,1,1,1,hldeliverylist
35,4400042,0666,1,1,1,0,1,1,1,1,hldeliverylist
36,4400043,0666,1,1,1,0,1,1,1,1,hldeliverylist
37,4400044,0666,1,1,1,0,1,1,1,1,hldeliverylist
38,4400045,0666,1,1,1,0,1,1,1,1,hldeliverylist
39,4400046,0666,1,1,1,0,1,1,1,1,hldeliverylist
40,4400047,0666,1,1,1,0,1,1,1,1,hldeliverylist
41,4400048,0666,1,1,1,0,1,1,1,1,hldeliverylist
42,4400051,0666,1,1,1,0,1,1,1,1,hldeliverylist
43,4400052,0666,1,1,1,0,1,1,1,1,hldeliverylist
44,4400053,0666,1,1,1,0,1,1,1,1,hldeliverylist
45,4400054,0666,1,1,1,0,1,1,1,1,hldeliverylist
46,4400054,0666,1,1,1,0,1,1,1,1,hldeliverylist
47,4400054,0666,1,1,1,0,1,1,1,1,hldeliverylist
48,4400055,0666,1,1,1,0,1,1,1,1,hldeliverylist
49,4400056,0666,1,1,1,0,1,1,1,1,hldeliverylist
50,4400057,0666,1,1,1,0,1,1,1,1,hldeliverylist
51,4400058,0666,1,1,1,0,1,1,1,1,hldeliverylist
52,4400061,0666,1,1,1,0,1,1,1,1,hldeliverylist
53,4400062,0666,1,1,1,0,1,1,1,1,hldeliverylist
54,4400062,0666,1,1,1,0,1,1,1,1,hldeliverylist
55,4400062,0666,1,1,1,0,1,1,1,1,hldeliverylist
56,4400063,0666,1,1,1,0,1,1,1,1,hldeliverylist
57,4400064,0666,1,1,1,0,1,1,1,1,hldeliverylist
58,4400065,0666,1,1,1,0,1,1,1,1,hldeliverylist
59,4400066,0666,1,1,1,0,1,1,1,1,hldeliverylist
60,4400067,0666,1,1,1,0,1,1,1,1,hldeliverylist
61,4400068,0666,1,1,1,0,1,1,1,1,hldeliverylist
62,4400069,0666,1,1,1,0,1,1,1,1,hldeliverylist
63,4400071,0666,1,1,1,0,1,1,1,1,hldeliverylist
64,4400072,0666,1,1,1,0,1,1,1,1,hldeliverylist
65,4400073,0666,1,1,1,0,1,1,1,1,hldeliverylist
66,4400074,0666,1,1,1,0,1,1,1,1,hldeliverylist
67,4400075,0666,1,1,1,0,1,1,1,1,hldeliverylist
68,4400075,0666,1,1,1,0,1,1,1,1,hldeliverylist
69,4400075,0666,1,1,1,0,1,1,1,1,hldeliverylist
70,4400075,0666,1,1,1,0,1,1,1,1,hldeliverylist
71,4400076,0666,1,1,1,0,1,1,1,1,hldeliverylist
72,4400077,0666,1,1,1,0,1,1,1,1,hldeliverylist
73,4400078,0666,1,1,1,0,1,1,1,1,hldeliverylist
74,4400081,0666,1,1,1,0,1,1,1,1,hldeliverylist
75,4400082,0666,1,1,1,0,1,1,1,1,hldeliverylist
76,4400083,0666,1,1,1,0,1,1,1,1,hldeliverylist
77,4400083,0666,1,1,1,0,1,1,1,1,hldeliverylist
78,4400083,0666,1,1,1,0,1,1,1,1,hldeliverylist
79,4400083,0666,1,1,1,0,1,1,1,1,hldeliverylist
80,4400083,0666,1,1,1,0,1,1,1,1,hldeliverylist
81,4400083,0666,1,1,1,0,1,1,1,1,hldeliverylist
82,4400083,0666,1,1,1,0,1,1,1,1,hldeliverylist
83,4400083,0666,1,1,1,0,1,1,1,1,hldeliverylist
84,4400083,0666,1,1,1,0,1,1,1,1,hldeliverylist
85,4400083,0666,1,1,1,0,1,1,1,1,hldeliverylist
86,4400084,0666,1,1,1,0,1,1,1,1,hldeliverylist
87,4400084,0666,1,1,1,0,1,1,1,1,hldeliverylist
88,4400084,0666,1,1,1,0,1,1,1,1,hldeliverylist
89,4400084,0666,1,1,1,0,1,1,1,1,hldeliverylist
90,4400085,0666,1,1,1,0,1,1,1,1,hldeliverylist
91,4400086,0666,1,1,1,0,1,1,1,1,hldeliverylist
92,4400091,0666,1,1,1,0,1,1,1,1,hldeliverylist
93,4400092,0666,1,1,1,0,1,1,1,1,hldeliverylist
94,4400093,0666,1,1,1,0,1,1,1,1,hldeliverylist
95,4400094,0666,1,1,1,0,1,1,1,1,hldeliverylist
96,4400095,0666,1,1,1,0,1,1,1,1,hldeliverylist
97,4400801,0666,1,1,1,0,1,1,1,1,hldeliverylist
98,4400802,0666,1,1,1,0,1,1,1,1,hldeliverylist
99,4400803,0666,1,1,1,0,1,1,1,1,hldeliverylist
100,4400804,0666,1,1,1,0,1,1,1,1,hldeliverylist
101,4400805,0666,1,1,1,0,1,1,1,1,hldeliverylist
102,4400806,0666,1,1,1,0,1,1,1,1,hldeliverylist
103,4400811,0666,1,1,1,0,1,1,1,1,hldeliverylist
104,4400812,0666,1,1,1,0,1,1,1,1,hldeliverylist
105,4400813,0666,1,1,1,0,1,1,1,1,hldeliverylist
106,4400814,0666,1,1,1,0,1,1,1,1,hldeliverylist
107,4400815,0666,1,1,1,0,1,1,1,1,hldeliverylist
108,4400816,0666,1,1,1,0,1,1,1,1,hldeliverylist
109,4400821,0666,1,1,1,0,1,1,1,1,hldeliverylist
110,4400822,0666,1,1,1,0,1,1,1,1,hldeliverylist
111,4400823,0666,1,1,1,0,1,1,1,1,hldeliverylist
112,4400824,0666,1,1,1,0,1,1,1,1,hldeliverylist
113,4400825,0666,1,1,1,0,1,1,1,1,hldeliverylist
114,4400826,0666,1,1,1,0,1,1,1,1,hldeliverylist
115,4400827,0666,1,1,1,0,1,1,1,1,hldeliverylist
116,4400831,0666,1,1,1,0,1,1,1,1,hldeliverylist
117,4400832,0666,1,1,1,0,1,1,1,1,hldeliverylist
118,4400832,0666,1,1,1,0,1,1,1,1,hldeliverylist
119,4400833,0666,1,1,1,0,1,1,1,1,hldeliverylist
120,4400834,0666,1,1,1,0,1,1,1,1,hldeliverylist
121,4400835,0666,1,1,1,0,1,1,1,1,hldeliverylist
122,4400836,0666,1,1,1,0,1,1,1,1,hldeliverylist
123,4400837,0666,1,1,1,0,1,1,1,1,hldeliverylist
124,4400837,0666,1,1,1,0,1,1,1,1,hldeliverylist
125,4400838,0666,1,1,1,0,1,1,1,1,hldeliverylist
126,4400841,0666,1,1,1,0,1,1,1,1,hldeliverylist
127,4400842,0666,1,1,1,0,1,1,1,1,hldeliverylist
128,4400843,0666,1,1,1,0,1,1,1,1,hldeliverylist
