id,dc_code,start_day,end_day,hl_day,discriminator_type
1,1,2016-09-10,2016-09-16,2016-09-07,hlexpectedday
2,1,2016-09-17,2016-09-23,2016-09-14,hlexpectedday
3,1,2016-09-24,2016-09-30,2016-09-21,hlexpectedday
4,1,2016-10-01,2016-10-07,2016-09-28,hlexpectedday
5,1,2016-10-08,2016-10-14,2016-10-05,hlexpectedday
6,1,2016-10-15,2016-10-21,2016-10-12,hlexpectedday
7,1,2016-10-22,2016-10-28,2016-10-19,hlexpectedday
8,1,2016-10-29,2016-11-04,2016-10-26,hlexpectedday
9,1,2016-11-05,2016-11-11,2016-11-02,hlexpectedday
10,1,2016-11-12,2016-11-18,2016-11-09,hlexpectedday
11,1,2016-11-19,2016-11-25,2016-11-16,hlexpectedday
12,1,2016-11-26,2016-12-02,2016-11-23,hlexpectedday
13,1,2016-12-03,2016-12-09,2016-11-30,hlexpectedday
14,1,2016-12-10,2016-12-16,2016-12-07,hlexpectedday
15,1,2016-12-17,2016-12-23,2016-12-14,hlexpectedday
16,1,2016-12-24,2016-12-30,2016-12-21,hlexpectedday
17,1,2016-12-31,2017-01-06,2016-12-28,hlexpectedday
18,1,2017-01-07,2017-01-13,2017-01-04,hlexpectedday
19,1,2017-01-14,2017-01-20,2017-01-11,hlexpectedday
20,1,2017-01-21,2017-01-27,2017-01-18,hlexpectedday
21,1,2017-01-28,2017-02-03,2017-01-25,hlexpectedday
22,1,2017-02-04,2017-02-10,2017-02-01,hlexpectedday
23,1,2017-02-11,2017-02-17,2017-02-08,hlexpectedday
24,1,2017-02-18,2017-02-24,2017-02-15,hlexpectedday
25,1,2017-02-25,2017-03-03,2017-02-22,hlexpectedday
26,1,2017-03-04,2017-03-10,2017-03-01,hlexpectedday
27,1,2017-03-11,2017-03-17,2017-03-08,hlexpectedday
28,1,2017-03-18,2017-03-24,2017-03-15,hlexpectedday
29,1,2017-03-25,2017-03-31,2017-03-22,hlexpectedday
30,1,2017-04-01,2017-04-07,2017-03-29,hlexpectedday
31,1,2017-04-08,2017-04-14,2017-04-05,hlexpectedday
32,1,2017-04-15,2017-04-21,2017-04-12,hlexpectedday
33,1,2017-04-22,2017-04-28,2017-04-19,hlexpectedday
34,1,2017-04-29,2017-05-05,2017-04-26,hlexpectedday
35,1,2017-05-06,2017-05-12,2017-05-03,hlexpectedday
36,1,2017-05-13,2017-05-19,2017-05-10,hlexpectedday
37,1,2017-05-20,2017-05-26,2017-05-17,hlexpectedday
38,1,2017-05-27,2017-06-02,2017-05-24,hlexpectedday
39,1,2017-06-03,2017-06-09,2017-05-31,hlexpectedday
40,1,2017-06-10,2017-06-16,2017-06-07,hlexpectedday
41,1,2017-06-17,2017-06-23,2017-06-14,hlexpectedday
42,1,2017-06-24,2017-06-30,2017-06-21,hlexpectedday
43,1,2017-07-01,2017-07-07,2017-06-28,hlexpectedday
44,1,2017-07-08,2017-07-14,2017-07-05,hlexpectedday
45,1,2017-07-15,2017-07-21,2017-07-12,hlexpectedday
46,1,2017-07-22,2017-07-28,2017-07-19,hlexpectedday
47,1,2017-07-29,2017-08-04,2017-07-26,hlexpectedday
48,1,2017-08-05,2017-08-11,2017-08-02,hlexpectedday
49,1,2017-08-12,2017-08-18,2017-08-09,hlexpectedday
50,1,2017-08-19,2017-08-25,2017-08-16,hlexpectedday
