id,dc_code,post_code,post_name,discriminator_type
"1","1","0051","山形営業所","hlareaemplacement"
"2","1","0055","市原営業所","hlareaemplacement"
"3","1","0072","高崎営業所","hlareaemplacement"
"4","1","0083","町田営業所","hlareaemplacement"
"5","1","0086","いわき営業所","hlareaemplacement"
"6","1","0087","八戸営業所","hlareaemplacement"
"7","1","0095","静岡営業所","hlareaemplacement"
"8","1","0654","三郷営業所","hlareaemplacement"
"9","1","0656","青森営業所","hlareaemplacement"
"10","1","0658","新潟営業所","hlareaemplacement"
"11","1","0660","大宮営業所","hlareaemplacement"
"12","1","0669","所沢営業所","hlareaemplacement"
"13","1","0674","川崎営業所","hlareaemplacement"
"14","1","0675","市川営業所","hlareaemplacement"
"15","1","0676","栃木営業所","hlareaemplacement"
"16","1","0679","厚木営業所","hlareaemplacement"
"17","1","0683","甲府営業所","hlareaemplacement"
"18","1","0691","和光営業所","hlareaemplacement"
"19","1","0695","つくば営業所","hlareaemplacement"
"20","1","0699","長野営業所","hlareaemplacement"
"21","1","0700","長岡営業所","hlareaemplacement"
"22","1","0701","松本営業所","hlareaemplacement"
"23","1","0710","秋田営業所","hlareaemplacement"
"24","1","0716","花巻営業所","hlareaemplacement"
"25","1","0717","郡山営業所","hlareaemplacement"
"26","1","0718","佐久営業所","hlareaemplacement"
"27","1","0723","成田営業所","hlareaemplacement"
"28","1","0728","那須塩原営業所","hlareaemplacement"
"29","1","0732","熊谷営業所","hlareaemplacement"
"30","1","0733","福島営業所","hlareaemplacement"
"31","2","0023","旭川営業所","hlareaemplacement"
"32","2","0026","函館営業所","hlareaemplacement"
"33","2","0038","苫小牧営業所","hlareaemplacement"
"34","2","0039","釧路営業所","hlareaemplacement"
"35","2","0048","帯広営業所","hlareaemplacement"
"36","2","0049","北見営業所","hlareaemplacement"
"37","3","0098","熊本営業所","hlareaemplacement"
"38","3","0655","福岡営業所","hlareaemplacement"
"39","3","0685","沖縄営業所","hlareaemplacement"
"40","3","0687","宮崎営業所","hlareaemplacement"
"41","3","0697","大分営業所","hlareaemplacement"
"42","3","0704","鹿児島営業所","hlareaemplacement"
"43","3","0706","広島営業所","hlareaemplacement"
"44","3","0707","佐賀営業所","hlareaemplacement"
"45","3","0708","福山営業所","hlareaemplacement"
"46","3","0709","長崎営業所","hlareaemplacement"
"47","3","0724","山口営業所","hlareaemplacement"
"48","3","0730","佐世保営業所","hlareaemplacement"
"49","3","0737","延岡営業所","hlareaemplacement"
"50","4","0084","金沢営業所","hlareaemplacement"
"51","4","0088","福井営業所","hlareaemplacement"
"52","4","0089","奈良営業所","hlareaemplacement"
"53","4","0688","岡山営業所","hlareaemplacement"
"54","4","0650","高松営業所","hlareaemplacement"
"55","4","0651","亀山営業所","hlareaemplacement"
"56","4","0653","名古屋営業所","hlareaemplacement"
"57","4","0661","大阪南営業所","hlareaemplacement"
"58","4","0665","京都営業所","hlareaemplacement"
"59","4","0666","浜松営業所","hlareaemplacement"
"60","4","0667","神戸営業所","hlareaemplacement"
"61","4","0678","大阪北営業所","hlareaemplacement"
"62","4","0682","松山営業所","hlareaemplacement"
"63","4","0686","姫路営業所","hlareaemplacement"
"64","4","0689","三河営業所","hlareaemplacement"
"65","4","0690","和歌山営業所","hlareaemplacement"
"66","4","0702","栗東営業所","hlareaemplacement"
"67","4","0703","富山営業所","hlareaemplacement"
"68","4","0712","淡路営業所","hlareaemplacement"
"69","4","0714","徳島営業所","hlareaemplacement"
"70","4","0715","高知営業所","hlareaemplacement"
"71","4","0725","松阪営業所","hlareaemplacement"
"72","4","0729","上越営業所","hlareaemplacement"
"73","4","0731","田辺営業所","hlareaemplacement"
"74","4","0734","福知山営業所","hlareaemplacement"
"75","4","0735","松江営業所","hlareaemplacement"
"76","4","0738","鳥取営業所","hlareaemplacement"
"77","2","0002","札幌営業所","hlareaemplacement"
